,제목,주소,경도,위도
196,영등포아크로타워점, 서울 영등포구 국회대로54길 10,126.906415,37.5236412
197,영등포에이스점, 서울 영등포구 경인로 775,126.899481,37.5147606
198,영등포점, 서울 영등포구 영중로 16-1,126.906150,37.5178656
199,영등포중앙점, 서울 영등포구 영중로 37,126.904689,37.5194592
200,영등포코레일점, 서울 영등포구 경인로 846,126.906334,37.5156493
201,영등포홈플러스점, 서울 영등포구 당산로 42,126.895902,37.5182083
202,한강성심병원점, 서울 영등포구 버드나루로 51,126.910578,37.5230588
203,한국수출입은행점, 서울 영등포구 은행로 38,126.923378,37.5285911
204,힐스테이트클래시안점, 서울 영등포구 신길로28길 9,126.911179,37.5033995
205,공덕롯데캐슬점, 서울 마포구 마포대로 109,126.950575,37.5449139
206,공덕점, 서울 마포구 마포대로8길 15,126.954071,37.5463930
207,광흥창역점, 서울 마포구 창전로 45,126.931801,37.5465802
208,대흥역점, 서울 마포구 백범로 100,126.942369,37.5474779
209,동교중앙점, 서울 마포구 동교로27길 8,126.922973,37.5587200
210,마포공덕역점, 서울 마포구 새창로 6,126.950441,37.5420757
211,마포구청점, 서울 마포구 월드컵로 196,126.902729,37.5647775
212,마포데시앙점, 서울 마포구 독막로 320,126.947838,37.5429485
213,마포성산시영점, 서울 마포구 월드컵북로 210,126.905791,37.5691769
214,마포점, 서울 마포구 도화길 10,126.947331,37.5397678
215,망리단길점, 서울 마포구 포은로 81-1,126.905244,37.5543011
216,망원역점, 서울 마포구 월드컵로 82-1,126.910198,37.5563593
217,망원중앙점, 서울 마포구 월드컵로 147,126.905417,37.5607523
218,상수역점, 서울 마포구 와우산로 41-1,126.922758,37.5482323
219,상암DMC점, 서울 마포구 월드컵북로 396,126.890257,37.5794165
220,상암KBS점, 서울 마포구 월드컵북로 375,126.890599,37.5775248
221,상암우리기술점, 서울 마포구 월드컵북로56길 9,126.887424,37.5813690
222,상암한샘점, 서울 마포구 성암로13길 58,126.897711,37.5756842
223,상암홈플러스점, 서울 마포구 월드컵로 240,126.897348,37.5682507
224,서강대점, 서울 마포구 백범로 34,126.937296,37.5516829
225,서교동점, 서울 마포구 와우산로29길 70,126.926575,37.5563438
226,성산점, 서울 마포구 월드컵북로 137,126.911444,37.5648205
227,성산중앙점, 서울 마포구 성미산로 78,126.916645,37.5602924
228,신촌그랑자이점, 서울 마포구 대흥로 183,126.944434,37.5553446
229,신촌로터리점, 서울 마포구 서강로 135,126.935404,37.5544930
230,신촌숲아이파크점, 서울 마포구 광성로 17,126.934366,37.5510416
231,애오개역점, 서울 마포구 마포대로 208,126.956817,37.5524848
232,오벨리스크점, 서울 마포구 마포대로 33,126.945453,37.5400192
233,한강공원로점,  서울 마포구 망원로,우편번호없음,x좌표없음
234,합정LIG점, 서울 마포구 양화로1길 21,126.910331,37.5495208
235,합정동점, 서울 마포구 양화로6길 90,126.919057,37.5482208
236,합정역사거리점, 서울 마포구 독막로2길 5,126.914825,37.5482538
237,합정역점, 서울 마포구 양화로11길 54,126.913813,37.5522805
238,합정홈플러스점, 서울 마포구 양화로 45,126.913758,37.5509200
239,홍대중앙점, 서울 마포구 양화로 124,126.920918,37.5542137
240,홍대청기와점, 서울 마포구 월드컵북로 7,126.920645,37.5556010
241,홍대학원가점, 서울 마포구 와우산로 148,126.929655,37.5541112
242,가든파이브점, 서울 송파구 충민로 10,127.119526,37.4782819
243,가든파이브테크노관점, 서울 송파구 충민로 66,127.124342,37.4777905
244,가락몰점, 서울 송파구 양재대로 932,127.107552,37.4933581
245,가락중앙점, 서울 송파구 송이로 87,127.120779,37.4983099
