,제목,저자,출판사,출판일,가격,ISBN
14,SQL (2 books in 1 -  The Ultimate Beginner’s & Intermediate Guide to Learn SQL Programming step by step),,nelly B.L. International Consulting LTD.,20200208.0,67120,9781647710224
15,SQL (The Ultimate Intermediate Guide to Learn SQL Programming Step by Step),,nelly B.L. International Consulting LTD.,20191205.0,48190,9781647710149
16,SQL (A Beginner’s Guide),,Osborne/McGraw-Hill,20030501.0,47540,9780072228854
17,모두의 SQL (누구나 쉽게 배우는 데이터 분석 기초),김도연,길벗,20180921.0,16200,9791160505771
18,2022 유선배 SQL개발자(SQLD) 과외노트 (유튜브 선생님에게 배우는 유·선·배!),정미나,시대고시기획,20220603.0,19800,9791138310413
19,SQL 쿡북 (모든 SQL 사용자를 위한 쿼리 완벽 가이드),앤서니 몰리나로^로버트 더그래프,한빛미디어,20220120.0,36000,9791162245125
20,데이터베이스 SQL 프로그래밍 (MySQL 실습),홍봉희,부산대학교출판문화원,20220831.0,17100,9788973167517
21,PHP+MySQL 입문 (예제로 배우는 백엔드 프로그래밍),황재호,인포앤북,20220125.0,24300,9791192038025
22,"러닝 SQL (데이터 생성, 검색, 조작까지 데이터 제대로 주무르기)",앨런 볼리외,한빛미디어,20210330.0,27000,9791162244074
23,SQL 전문가 가이드 (The Guide for SQL Professional),한국데이터베이스진흥원 편집부,한국데이터산업진흥원,20210315.0,45000,9788988474860
24,SQL 언어,래리 락오프,성안당,20170227.0,18000,9788931554670
25,No SQL (빅 데이터 세상으로 떠나는 간결한 안내서),프라모드 사달게이,인사이트,20130305.0,14400,9788966260706
26,NoSQL,,Novas Edicoes Academicas,20180209.0,75760,9786202181792
27,"MySQL (The definitive guide to using, programming, and administering MySQL 4.1 and 5.0)","Dubois, Paul",Sams,20050310.0,81720,9780672326738
28,MySQL,"Dubois, Paul",Macmillan Computer Pub,20080516.0,81720,9780672329388
29,MySQL (Building User Interfaces),,New Riders Publishing,20010701.0,74290,9780735710498
30,MySQL (The Complete Reference),,Osborne/McGraw-Hill,20031201.0,68360,9780072224771
31,SQL 첫걸음 (하루 30분 36강으로 배우는 완전 초보의 SQL 따라잡기),아사이 아츠시,한빛미디어,20151101.0,19800,9788968482311
32,SQL 레벨업 (DB 성능 최적화를 위한 SQL 실전 가이드),미크,한빛미디어,20160130.0,21600,9788968482519
33,"오라클 SQL (취준생과 비전공자도 쉽게 배우는, 제3판)",문성기,다올미디어,20190125.0,0,9788997587339
34,SQL 서버의 구조,히라야마 오사무,성안당,20211115.0,17100,9788931557510
