,제목,저자,출판사,출판일,가격,ISBN
35,JAVA 프로그래밍 (실무 예제(Lotto)로 따라 배우는),권기현,도서출판 홍릉(홍릉과학출판사),20180330.0,36630,9791156005889
36,Power JAVA,천인국^하상호,인피니티북스,20121022.0,29000,9788992649865
37,Good JAVA,우재남,한빛아카데미,20160212.0,0,9791156642442
38,Java 프로그래밍,최범균,인투북스,20110905.0,0,9788996409748
39,자바(Java) 1학년 (체험으로 배우고 대화 형식으로 공부하는 프로그래밍의 구조),모리 요시나오,성안당,20190109.0,15300,9788931555691
40,Just JAVA (객체지향에 충실한 자바다운 자바),황희정,한빛아카데미,20151026.0,22500,9791156642015
41,Java Head,,Lulu.com,20200806.0,25730,9781716672835
42,명쾌한 JAVA 입문 (248개의 예제 프로그램과 278개의 일러스트가 가득한),시바타 보요,영진닷컴,20080805.0,20700,9788931437225
43,Java 프로그래밍,한정란,21세기사,20190304.0,28800,9788984688230
44,JAVA 언어의 활용,정병수,도서출판 홍릉(홍릉과학출판사),20100228.0,23000,9788972838418
45,JAVA 쉽게 배우기 (J2SE 1.6을 중심으로),임정목,현우사,20090220.0,20700,9788980812608
46,Java 프로그래밍 (자바 이런거였어?),조용준,가메,20180808.0,23850,9788980782987
47,쉬운 Java 교과서 (Java를 가장 빨리 배울 수 있는 방법),유채곤,21세기사,20140825.0,18000,9788984685413
48,JAVA 프로그래밍 (미니 프로젝트로 배우는),김교일,복두출판사,20130830.0,16000,9788980009091
49,JAVA 프로그래밍,Ira Pohl,21세기사,20150125.0,31500,9788984685604
50,Java Girl (A Romance of the Dutch East Indies),,DatASIA,20200101.0,60170,9781934431337
51,Core Java,,Repro Knowledgcast Ltd,20160116.0,39570,9789351649847
52,에센셜 JAVAFX (모바일 데스크탑과 웹용 애플리케이션 개발툴),게일 앤더슨,케이앤피IT,20101118.0,0,9788964200346
53,JAVA 별거 아니네 (프로그래밍 초급자를 위한 입문서),최재규,성안당,20131210.0,0,9788931552669
54,Core Java (Advanced Features #3),,CreateSpace Independent Publishing Platform,20140521.0,40100,9781499642711
56,First Java,유영진,연두에디션,20210129.0,29700,9791188831739
57,JAVA 7 프로그래밍 (실습으로 배우는),진민,휴먼사이언스,20120228.0,22500,9788993712339
58,JAVA 6 프로그래밍 (예제로 배우는),진민,휴먼사이언스,20090220.0,19800,9788996190622
59,Build Up JAVA (프로그래밍 기초부터 튼튼하게 학습하는),임정목^김점구^이태동,북스홀릭퍼블리싱,20220302.0,34200,9791162890974
60,Java Study (기초에서 실무개발자까지 자바 스터디),안용화,구민사,20170510.0,20700,9791158134471
61,JavaScript,,Editorial Academica Espanola,20200325.0,154960,9786200333209
63,"JavaScript (The Web Technologies Series, International Edition)",,South-Western,20100313.0,147000,9780538468138
64,JAVA 웹서비스 구축 (기초부터 실무까지),황세규,도서출판 홍릉(홍릉과학출판사),20120215.0,0,9788972837978
65,Java 7 프로그래밍,인경열,가메,20120515.0,0,9788980782505
66,JAVA 핵심 요약 노트 (빠르게 훑어보는 자바 프로그래밍),김흥래,한빛미디어,20140314.0,6480,9788968486630
67,JavaScript,,Cengage Learning,20140827.0,216560,9781305078444
68,Java 프로그래밍 입문 (모르면 물어봐 1 : 1 Q&A 게시판 운영),정동진^김영진^최주호,앤써북,20151030.0,18900,9791185553184
