,제목,저자,출판사,출판일,가격,ISBN
40,파이썬 입문 (3step으로 확실하게 배우는),야마다 요시히로,시그마프레스,20210105.0,22500,9791162262979
41,25시간만에 배우는 머신러닝 예제 (파이썬 활용),김준석^김상권^한현수^김영록,이모션미디어,20180131.0,15000,9791188145324
42,파이썬과 데이터 과학 (파이썬으로 시작하는 데이터 과학과 기계학습),천인국^박동규^강영민,생능출판,20201228.0,23400,9788970504773
43,"전문가를 위한 파이썬 프로그래밍 (애플리케이션 구축,유지보수,패키징,배포 등 모던 파이썬 개발 마스터하기)",미하우 야보르스키^타레크 지아데,제이펍,20220812.0,34200,9791192469201
44,파이썬 정복 (파이썬 개발에 필요한 기본 지식을 모두 담은 파이썬 입문서),김상형,한빛미디어,20180402.0,19800,9791162240540
45,파이썬의 신 (프로그래밍 언어를 배운다는 것),김주현,로드북,20190214.0,24300,9788997924271
46,파이썬 코딩,문병수,캐멀컨설팅,20170717.0,14400,9788996700821
47,달구나 파이썬!,노순국^이금분^정유정,연두에디션,20211201.0,18000,9791188831999
48,파이썬 연습,김기용,그린,20200227.0,26000,9788957273012
49,이것이 취업을 위한 코딩 테스트다 with 파이썬 (취업과 이직을 결정하는 알고리즘 인터뷰 완벽 가이드),나동빈,한빛미디어,20200805.0,30600,9791162243077
50,ELS 평가를 위한 몬테카를로 시뮬레이션과 유한차분법 파이썬 활용 (파이썬 활용),한현수,지오북스,20191101.0,17100,9791187541660
51,"파이썬 한권으로 끝내기: 데이터분석전문가(ADP) + 빅데이터분석기사 실기대비 (국가공인/국가기술 자격, 파이썬의 기초부터 심화까지 모두 잡는 핵심요약, 실제출제경향을 반영한 기출동형 모의고사 3회분)",데싸라면^빨간색 물고기^자투리코드,시대고시기획,20220603.0,17820,9791138321853
52,똑똑한 파이썬 (주니어를 위한 최적의 코딩 학습서),황재호^황예린,인포앤북,20210601.0,16200,9791196440985
53,Wonder 파이썬 (놀랍도록 쉬운 파이썬 기초),서희정,인피니티북스,20220708.0,25200,9791192373034
54,파이썬 수치해석,Qingkai Kong^Timmy Siauw^Alexandre M. Bayen,휴먼싸이언스,20220218.0,29700,9791189057312
55,파이썬 코딩 실습(기본편),윤현석^박훈영^시호연^심성보^윤현석,좋은땅,20200727.0,22500,9791165366407
56,라이노 파이썬,김성욱,창조와지식,20210621.0,10800,9791160033236
57,"파이썬 스킬 업 (기초를 넘어서, 파이썬을 파이썬답게 사용하자!)",브라이언 오버랜드,길벗,20210531.0,36000,9791165215675
58,마케터의 파이썬 (코딩의 C도 모르는 우리들을 위한 맞춤 프로그래밍 가이드),정희석,e비즈북스,20220126.0,19800,9791157832361
59,고성능 파이썬 (파이썬 성능 잠재력을 끌어내는 실용적인 개발 전략서),미샤 고렐릭,한빛미디어,20210510.0,32400,9791162244210
60,파이썬 기반 금융 인공지능 (파이썬과 케라스를 활용한 금융 시계열 데이터 기반 알고리즘 트레이딩전략),이브 힐피시,한빛미디어,20220928.0,37800,9791169210300
61,파이썬 챌린지 (150개의 코딩 과제로 배운다),니콜라 레이시,제이펍,20210512.0,10080,9791191600018
62,파이썬의 정석 (파이썬 본질에 집중하다),시바타 보요,루비페이퍼,20210301.0,23400,9791186710623
63,"진지한 파이썬 (파이썬 작동 원리에서 확장, 테스트, 배포, 최적화까지)",쥘리앵 당주,한빛미디어,20210125.0,25200,9791162243794
64,연오의 파이썬 (친절한 개념 설명과 체계적인 예제로 배우는),박연오,인사이트,20201231.0,17820,9788966262823
65,나혼자 파이썬,이창현,디지털북스,20201210.0,13500,9788960883635
66,파이썬 첫걸음 (슈퍼히어로처럼 파이썬을 배우자),James R. Payne,잇플,20201228.0,23400,9791191198010
67,파이썬 알고리즘,최영규,생능출판,20210128.0,24300,9788970504797
68,"파이썬 자동화 교과서 (업무 생산성을 3배 높이는 엑셀, 워드, 크롤링, 메일 자동화 기술)",구지라 히코즈쿠에,제이펍,20220719.0,24300,9791192469195
69,"파이썬 매일 코딩 (매일 10분, 50가지 연습 문제로 키우는 파이썬 코딩 실력!)",루벤 M. 러너,길벗,20211130.0,19800,9791165217884
70,모두의 파이썬 (20일 만에 배우는 프로그래밍 기초),이승찬,길벗,20181009.0,10800,9791160505856
71,파이썬 데이터 분석,성낙현,생능출판,20220225.0,25200,9788970505602
72,나의 첫 파이썬 (전 세계가 선택한 프로젝트 기반 프로그래밍 입문서),에릭 마테스,한빛미디어,20200701.0,27000,9791162243060
73,AI 수학 with 파이썬 (한 권으로 배우는 인공지능 수학 첫걸음),아즈마 유키나가,영진닷컴,20210115.0,20700,9788931463378
74,바로 쓰는 파이썬,박진수,서울대학교출판문화원,20190228.0,24750,9788952128867
75,유쾌한 파이썬 (데이터 수집 분석 통계 은닉 암호화 기술),스티븐 로트,에이콘출판,20151130.0,21600,9788960777880
76,모두의 파이썬 (20일 만에 배우는 프로그래밍 기초),이승찬,길벗,20160509.0,10800,9791186978894
77,파파와 파이썬,Scion K.,아이캔디,20180201.0,21600,9791196291006
78,자기주도 파이썬 (정보영재 및 올림피아드를 위한 최적의 입문서),한컴에듀케이션 알고리즘연구소,복두출판사,20210730.0,15840,9791166750564
79,"파이썬 네트워크 프로그래밍 (사물인터넷을 위한, 제3-2판)",서열규^전희성,복두출판사,20220930.0,27000,9791166751936
80,똑똑한 파이썬 (주니어를 위한 최선의 코딩 학습),황재호,코딩스쿨,20190701.0,0,9791196440916
81,스타트 파이썬 (코딩 초보를 위한 최상의 파이썬 학습서!),황재호,코딩스쿨,20180901.0,17100,9791196440909
82,고성능 파이썬 (파이썬3 버전 기준),미샤 고렐릭,한빛미디어,20160810.0,0,9788968484995
83,파이썬 프로그래밍 (기초부터 실전 프로그래밍까지 한 권에 끝내는),박영권,시대인,20220110.0,19800,9791138312639
84,코딩 수학 (알고리즘(순서도)과 파이썬),정상조,교우,20220830.0,22800,9791125103561
85,쉽게 배우는 파이썬 (누구나 쉽게 배울 수 있는 파이썬 입문서),김은옥,삼양미디어,20210705.0,16200,9788958973959
86,파이썬 자료구조,김병호,홍릉,20210723.0,14250,9791156008729
87,파이썬 클린 코드 (유지보수가 쉬운 파이썬 코드를 만드는 비결),마리아노 아나야,터닝포인트,20190225.0,25200,9791161340463
88,파이썬 고급 딥러닝,Ivan Vasilev,홍릉,20220107.0,38610,9791156008866
89,두근두근 파이썬 (쉽고! 재밌고! 흥미로운 코딩 맛!),천인국,생능출판,20170116.0,21600,9788970508931
90,내손으로 파이썬 (입문자를 위한 파이썬 정복),코딩로봇연구소,코딩엑스,20210517.0,12600,9791197471506
91,금융 파이썬 쿡북 (금융 데이터 처리와 기술 분석부터 딥러닝 적용까지),에릭 르윈슨,에이콘출판,20210210.0,31500,9791161750507
92,가장 쉬운 독학 알고리즘 첫걸음: 파이썬편 (코딩 테스트에 대비하는 25가지 기초 알고리즘과 최적화),마스이 도시카츠,동양북스,20220513.0,21150,9791157688050
93,시간순삭 파이썬 (당신의 1분 1초를 아껴줄),천인국,생능북스,20200827.0,19800,9788970504650
94,데이터 과학을 위한 파이썬 머신러닝,최성철,한빛아카데미,20220103.0,27900,9791156645856
95,파이썬아 반가워! (20일 안에 끝내는 코딩),곽문기,다락원,20180827.0,12420,9788927747147
96,응용미적분학 with 파이썬,김봉진^곽태근^이성진^김원배^김봉진,경문사,20220901.0,23760,9791160735499
97,인공지능 파이썬 기초다지기,김찬교^김예린^김재환^안건^이현인,홍릉,20220623.0,11700,9791156000488
98,생활코딩! 파이썬 (가볍게 시작하여 유용하게 사용하는 생활코딩! Python),이고잉^장용하,범,20200323.0,16200,9791196058470
99,파이썬 코딩 도장,남재윤,길벗,20181130.0,12000,9791160506181
0,파이썬3 바이블 (스크립트 언어의 지존을 만나다!),이강성,프리렉,20131001.0,37800,9788965400493
1,"모던 파이썬 입문 (프로그래밍, 시작은 파이썬이다!)",아나 벨,길벗,20191007.0,23400,9791160509342
2,엑셀이 편해지는 파이썬 (엑셀 사용자를 위한 자동화 구축과 데이터 분석),펠릭스 춤슈타인,한빛미디어,20220420.0,25200,9791162245545
3,이젠 나도! 파이썬 (지금 시작해도 괜찮아),이지선,성안당,20191004.0,22500,9788931556278
4,스타트 업 파이썬 (코딩 한 달만 시작해 봐!),이지선,성안당,20180607.0,0,9788931555646
5,코딩 강화 파이썬 (단계별 구성으로 단단하게 배우는),이규호,제이펍,20190628.0,17820,9791188621569
6,토닥토닥 파이썬,권상기,플랜투,20190408.0,22500,9791196613112
7,모던 파이썬 쿡북 (주제별 문제 해결 레시피 모음),스티븐 로트,에이콘출판,20180222.0,38700,9791161751146
8,파이썬 프로그램,박진표,경남대학교출판부,20181221.0,25000,9788984215177
9,파이썬 입문교실 (파이썬3 버전 호환 | Windows.Mac 함께 설명),오오사와 후미타카,영진닷컴,20180711.0,15300,9788931458008
10,클린 코드를 위한 테스트 주도 개발 (파이썬을 이용한),해리 J. W. 퍼시벌,비제이퍼블릭,20150324.0,30600,9788994774916
11,"클린 코드, 이제는 파이썬이다 (한 권으로 읽는 파이썬 개발자 성장 프로젝트)",알 스웨이가트,책만,20220816.0,27000,9791189909451
12,실전 알고리듬 트레이딩 레벨업 (파이썬 백테스트 활용),안드레아스 F. 클레노우,에이콘출판,20220729.0,36000,9791161756509
13,케라스 딥러닝 실전 (파이썬에 기반한),씨에량,광문각,20191029.0,24300,9788970939643
14,파이썬 해킹 입문 (공격의 언어 파이썬을 이용한 해킹 연습),조성문,프리렉,20141208.0,20700,9788965400899
15,자기주도 파이썬 (무료 자동채점 시스템),김동규,복두출판사,20190420.0,0,9791159065217
16,코딩수학 파이썬 1,장한별^김현동^곽수빈^황영진^김준석,지오아카데미,20210901.0,15300,9791191346077
17,파이썬 프로그래밍 (컴퓨터 비전공자를 위한 인공지능 활용의 시작),유영환^김경민^김민호^이태훈^장종칠,부산대학교출판문화원,20210831.0,21600,9788973167203
18,"파이썬 로보틱스 (파이썬, ROS, OpenCV를 사용해 자율 주행 로봇 만들기)",렌틴 조셉,에이콘출판,20160520.0,0,9788960778610
19,러닝 파이썬 세트,마크 루츠,제이펍,20180328.0,68400,9791188621170
20,파이썬 머신러닝 (최신 예측 분석 기반으로 깊은 통찰력을 얻는 머신러닝 필수 가이드),세바스티안 라슈카,지앤선,20170125.0,28800,9791187497035
21,알고리즘 중심의 머신러닝 가이드 (파이썬 코드 기반),스티븐 마슬랜드,제이펍,20161228.0,28800,9791185890722
22,파이썬 프로그래밍,김상근,다올미디어,20200828.0,19800,9788997587353
23,파이썬과 파이게임 (쉽고 재미있게 예제로 배우는!),정선호,그린,20200225.0,25200,9788957273005
24,어쩌다 데이터 분석 with 파이썬 (판다스로 시작하는 효율적인 데이터 분석 및 시각화),김유지,한빛미디어,20220929.0,25200,9791169210317
25,컴퓨팅 사고를 위한 파이썬 (인공지능 프로그래밍을 포함한 개정판),서정원^김태령,생능출판,20220103.0,27000,9788970505282
26,파이썬 코딩의 기초 (문제해결을 위한),조연상,상학당,20210701.0,28800,9788965872139
27,파이썬 399 Step (예제로 정복하는 코딩 챌린지),문혜영,icox(아이콕스),20220315.0,19800,9791164261987
28,파이썬 마스터 3급,강윤희,명진씨앤피,20210625.0,16200,9788992561501
29,모두의 인공지능 with 파이썬 (누구나 쉽게 시작하는 딥러닝 기초 프로그래밍),이영호,길벗,20201230.0,19800,9791165213985
30,파이썬 해킹 레시피 (웹 크롤링 및 취약점 진단 도구를 구현해보는 정보 보안 실습),공재웅,비제이퍼블릭,20210604.0,23400,9791165920722
31,핵심만 쏙쏙 파이썬,양숙희^오경선^장은실,연두에디션,20200210.0,18810,9791188831388
32,Do it! 첫 파이썬 (게임하듯배우는나의첫프로그래밍책 | 만화와그림으로’코딩왕초보’탈출!),엘리스 코딩,이지스퍼블리싱,20200410.0,12600,9791163031567
33,파이썬 코딩 0교시 (대세는 국영수코! 교과서보다 먼저 만나는 첫 코딩),줄리 스웨이,프리렉,20210430.0,16200,9788965402923
34,파이썬 텍스트 코딩 워크북 (직접 풀어보면서 기르는 코드 리뷰 능력!),서정민^김성안^박수빈^배효정^서정민,삼양미디어,20220520.0,4500,9788958974048
35,프로그래밍 레벨업 파이썬 활용,조현준,북스홀릭퍼블리싱,20220829.0,22500,9791162891094
36,디지털 신호처리 (파이썬으로 배우는),하석운,생능출판,20200626.0,23400,9788970504230
37,"파이썬 네트워크 프로그래밍 (사물인터넷을 위한, 제3판)",서열규^전희성,복두출판사,20220225.0,25200,9791166751073
38,데이터 분석 with 파이썬,김임용,심통,20220630.0,28800,9791197529580
