,제목,저자,출판사,출판일,가격,ISBN
12,"Programming Basics : Using Microsoft Visual Basic, C++, Html, and Java (Basics Series (Boston, Mass. 반양장","Knowlton, Todd/ Barksdale, Karl/ Collings, Stephan",Course Technology,20210101.0,0,9780619058036
13,McAd Developing and Implementing Windows-Based Applications with Visual Basic.Net and Visual Studio.,,Que,20021201.0,96580,9780789728197
14,"MCAD/MCSD Self-Paced Training Kit (Developing XML Web Services and Server Components with Microsoft Visual Basic .NET and Microsoft ,,,)",,Microsoft Press,20030101.0,81900,9780735615861
15,Intro to Programming Using Visual Basic 2012 Plus Myprogramminglab with Pearson Etext -- Access Card Package (With Microsoft Visual Studio 2012 Express Editions Dvd),,Prentice Hall,20130206.0,234740,9780133450866
16,Beginning SQL Server 2005 Express Database Applications with Visual Basic Express and Visual Web Developer Express: From Novice to Professional (From Novice to Professional),"Dobson, Rick",Apress,20051226.0,81540,9781590595237
17,ENGLISH ICEBREAK VISUAL VOCA 333: BASIC (잉글리시 아이스브레이크 비주얼 보카 333 : 베이직),WATERMELON ENGLISH 편집부,WATERMELON ENGLISH COMPANY,20090622.0,9000,9788970636252
18,Braiding Manes and Tails (A Visual Guide to 30 Basic Braids),,Workman Pub Co,20080220.0,34100,9781580176996
19,Basic Design: The Dynamics of Visual Form (The Dynamics of Visual Form),Sausmarez,Herbert,20100126.0,44500,9780713683660
20,Basic Human Anatomy: An Essential Visual Guide for Artists (An Essential Visual Guide for Artists),,Monacelli,20161018.0,59450,9781580934381
21,Basic Visual Formatting in CSS: Layout Fundamentals in CSS,,O&#39;Reilly Media,20150827.0,14840,9781491929964
22,Basic Cinematography: A Creative Guide to Visual Storytelling (A Creative Guide to Visual Storytelling),,Routledge,20190315.0,69770,9780815396451
23,"Interdisciplinary Interaction Design: A Visual Guide to Basic Theories, Models and Ideas for Thinking and Designing for Interactive Web Design and Dig",James Pannafino,Assiduous Publishing,20121101.0,19190,9780982634813
24,Basic Topics On Image Processing (OpenCV & Visual C++ 영상처리 프로그래밍),김용기,오메가북스,20210709.0,24300,9791197411601
25,Basic Cinematography (A Creative Guide to Visual Storytelling),,Routledge,20190422.0,260080,9780815396444
26,Basic Perspective Drawing (A Visual Approach),John Wiley & Sons,John Wiley & Sons,20130122.0,84460,9781118134146
